Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J2,5-146128-1,Top,FP-5-146128-1-MFG,88.6,95,90,CONN HEADER SMD 3POS 2.54MM
Y1,24MHz,Top,FP-ABM8G-MFG,87.725,86.675,270,Crystal 24MHz ±30ppm (Tol) ±30ppm (Stability) 10pF FUND 60? 4-Pin SMD T/R
U6,SK6812,Top,ADA-RGB-1655_V,78.1398,72.6,270,"Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
U5,SK6812,Top,ADA-RGB-1655_V,84.8,72.6,270,"Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
U4,SK6812,Top,ADA-RGB-1655_V,91.4,72.7,270,"Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
U3,STM32F411CEU6,Top,STM-UFQFPN48_L,99,88,0,"ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
U2,MPU-6050,Top,IS-QFN-24_V,88.475,102.5,90,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
U1,AMS1117-3.3,Top,FP-AMS1117-IPC_C,112.9958,85.95,270,"LDO Voltage Regulators 1A, 3.3V"
S1,SS312SAH4-R,Top,FP-SS312SAH4-R-MFG,76.0063,108.1688,270,SWITCH SLIDE SPDT 0.4VA 28V
R9,10K,Top,FP-CRCW0805-e3-IPC_A,84.4,110.175,180,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R8,0R,Top,FP-CRCW0805-e3-IPC_A,90.5,86.5,90,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R7,1K,Top,FP-CRCW0805-e3-IPC_A,106.0509,83.8,180,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R6,10K,Top,FP-CRCW0805-e3-IPC_A,91,79.275,90,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R5,2K2,Top,FP-CRCW0805-e3-IPC_A,97.075,101.8,180,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R4,2K2,Top,FP-CRCW0805-e3-IPC_A,97.125,99.2,180,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R3,5K1,Top,FP-CRCW0805-e3-IPC_A,112.1016,106.1268,90,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R2,5K1,Top,FP-CRCW0805-e3-IPC_A,112.1,101.825,270,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
R1,1K,Top,FP-CRCW0805-e3-IPC_A,117.95,81.9991,90,"RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805"
P2,JTAG CONN,Top,61000621121,105.25,104.5,180,
J3,502584-1070,Top,FP-502584-1070-MFG,106.175,73.35,0,502584-1070 1.5 W/B Sgl ST RecAssy10CktEmbsTpPkg
J1,USB4110-GF-A,Top,FP-USB4110-GF-A-MFG,118.0525,100.725,90,CONN USB 2.0 TYPE-C R/A SMT
FB1,120R,Top,FP-BLM21-0_2-t0_85-e0_5-IPC_A,111.95,96.6,180,FERRITE BEAD 120 OHM 0805 1LN
DS2,LTST-C170KRKT,Top,LTST-C170KRKT_V,105.6,85.9,0,"LED Red, 75 mW, 54 mcd, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
DS1,1K,Top,AVAG-HSMX-C170_V,114.1,80.75,0,"Chip LED, Green, 2.2 V, -40 to 85 degC, 2-Pin SMD, Pb-Free, Tape and Reel"
C18,100n,Top,FP-CC0805-0_85-MFG,93.75,91.675,90,CAP CER 0.1UF 16V X7R 0805
C17,100n,Top,FP-CC0805-0_85-MFG,102.275,82.625,180,CAP CER 0.1UF 16V X7R 0805
C16,100n,Top,FP-CC0805-0_85-MFG,104.275,91.5,270,CAP CER 0.1UF 16V X7R 0805
C15,100n,Top,FP-CC0805-0_85-MFG,96.15,93.675,0,CAP CER 0.1UF 16V X7R 0805
C14,100n,Top,FP-CC0805-0_85-MFG,93.5,86.25,90,CAP CER 0.1UF 16V X7R 0805
C13,4.7u,Top,FP-0805-L_2_01_0_2-W_1_25-MFG,96.175,95.6,0,"General Purpose Ceramic Capacitor, 0805, 4.7uF, 10%, X7R, 15%, 16V"
C12,100n,Top,FP-CC0805-0_85-MFG,88.475,78.875,270,CAP CER 0.1UF 16V X7R 0805
C11,2u2,Top,FP-0805-L_2_01_0_2-W_1_25-IPC_B,99.425,81.9692,270,"General Purpose Ceramic Capacitor, 0805, 2.2uF, 10%, X5R, 15%, 10V"
C10,10p,Top,FP-CC0805-0_85-MFG,89.5,83.25,180,CAP CER 0.1UF 16V X7R 0805
C9,10p,Top,FP-CC0805-0_85-MFG,89.125,89.975,180,CAP CER 0.1UF 16V X7R 0805
C8,100n,Top,FP-CC0805-0_85-MFG,88.6043,106.4293,180,CAP CER 0.1UF 16V X7R 0805
C7,10n,Top,FP-CC0805-0_85-MFG,92.5293,100.8293,90,CAP CER 0.1UF 16V X7R 0805
C6,2n2,Top,FP-0805-L_2_01_0_2-W_1_25-IPC_B,84.4043,104.235,90,"General Purpose Ceramic Capacitor, 0805, 2.2uF, 10%, X5R, 15%, 10V"
C5,100n,Top,FP-CC0805-0_85-MFG,92.5293,104.0293,90,CAP CER 0.1UF 16V X7R 0805
C4,22u,Top,FP-CC0805-0_85-MFG,117.95,86.2991,90,CAP CER 0.1UF 16V X7R 0805
C3,22u,Top,FP-CC0805-0_85-MFG,111.65,91.3,0,CAP CER 0.1UF 16V X7R 0805
C2,2u2,Top,FP-0805-L_2_01_0_2-W_1_25-IPC_B,110.025,93.85,180,"General Purpose Ceramic Capacitor, 0805, 2.2uF, 10%, X5R, 15%, 10V"
C1,2u2,Top,FP-0805-L_2_01_0_2-W_1_25-IPC_B,113.45,93.825,0,"General Purpose Ceramic Capacitor, 0805, 2.2uF, 10%, X5R, 15%, 10V"
BT1,CR-1220,Top,FP-S8411-45R-MFG,77,89.5,180,BATTERY HOLDER COIN 12MM SMD
