Removed Pin From Net: NetName=NetBT1_2 Pin=P1-1
Removed Pin From Net: NetName=+VBAT Pin=P1-2
Removed Pin From Net: NetName=+3V3 Pin=P1-3
Change Component Footprint: Designator=P2 Old Footprint=61000621121 New Footprint=61000621121
Change Component Footprint: Designator=J3 Old Footprint=FP-502584-1070-MFG New Footprint=FP-502584-1070-MFG
Change Component Footprint: Designator=BT1 Old Footprint=FP-CR-1220-HFN-MFG New Footprint=FP-S8411-45R-MFG
Change Managed Component Library Link : Designator=BT1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=668D5DA1-0BB9-4DA9-8AD8-D190FCB05252 New ItemGUID=92D64699-E109-46DC-B29F-983E2EB1929A Old RevisionGUID=FC820A52-5ABF-4896-87DA-EBF5E93FD6BE New RevisionGUID=F382E4BF-F630-41BA-880E-CE5930C679DA
Change component parameters: Designator = "BT1" ("BT1"); Footprint = "FP-CR-1220-HFN-MFG"; UniqueID = "\JZCBTOHF" ("\JZCBTOHF")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Polyphenylene"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Batteries"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Cells"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Added Component: Designator=J2(FP-5-146128-1-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/global-en/product-5-146128-1.html"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Gold,Nickel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER SMD 3POS 2.54MM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=146128&DocType=Customer+Drawing&DocLang=English"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "10.1092mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "5-146128-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "AMPMODU 3 Position Surface Mount Single Row Straight 2.54 mm Breakaway Header"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/5-146128-1-te+connectivity-40948200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "HDR3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-65°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-65°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "30V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+3V3 Pin=J2-1
Added Pin To Net: NetName=+VBAT Pin=J2-2
Added Pin To Net: NetName=NetBT1_2 Pin=J2-3
